company_name,title,description,required_skills,location,job_type,job_location_type,experience_level,min_experience,experience_required,salary,tags,is_boosted
Himalaya Digital Bank,Talent Acquisition Specialist,"Himalaya Digital Bank is hiring a Talent Acquisition Specialist to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""PostgreSQL"", ""Git"", ""Unit Testing"", ""AWS"", ""Docker"", ""JavaScript"", ""Python"", ""CI/CD""]",Singapore,Internship,Onsite,Entry Level,1,1-3 years,"$48,222 - $65,043","[""talent-acquisition-specialist"", ""financial-technology"", ""onsite"", ""entry-level""]",False
TerraGrid Energy,Product Designer,"TerraGrid Energy is hiring a Product Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Email Marketing"", ""Marketing Automation"", ""Copywriting"", ""Meta Ads""]","Toronto, Canada",Contract,Onsite,Entry Level,1,1-3 years,"$33,329 - $47,166","[""product-designer"", ""renewable-energy"", ""onsite"", ""entry-level""]",False
BluePeak Studio,UX Designer,"BluePeak Studio is hiring a UX Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Wireframing"", ""Accessibility"", ""Figma"", ""Prototyping"", ""Adobe Creative Suite"", ""Journey Mapping"", ""Design Systems"", ""User Research"", ""Usability Testing""]","New York, NY",Full-time,Onsite,Mid,4,4-6 years,"$53,860 - $82,141","[""ux-designer"", ""design-and-media"", ""onsite"", ""mid""]",False
BluePeak Studio,Talent Acquisition Specialist,"BluePeak Studio is hiring a Talent Acquisition Specialist to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Figma"", ""Wireframing"", ""Journey Mapping"", ""User Research"", ""Usability Testing"", ""Accessibility"", ""Adobe Creative Suite"", ""Prototyping""]","Lalitpur, Nepal",Contract,Hybrid,Senior,6,6-8 years,"$52,120 - $66,810","[""talent-acquisition-specialist"", ""design-and-media"", ""hybrid"", ""senior""]",False
MapleBridge Consulting,UX Designer,"MapleBridge Consulting is hiring a UX Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Usability Testing"", ""Accessibility"", ""Wireframing"", ""User Research"", ""Journey Mapping"", ""Figma"", ""Prototyping"", ""Adobe Creative Suite""]","London, UK",Contract,Onsite,Mid,4,4-6 years,"$49,824 - $72,970","[""ux-designer"", ""consulting"", ""onsite"", ""mid""]",False
BrightPath Learning,QA Engineer,"BrightPath Learning is hiring a QA Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Agile"", ""Go-to-Market"", ""Analytics"", ""User Research"", ""Jira"", ""Roadmapping""]","Sydney, Australia",Full-time,Hybrid,Mid,2,2-4 years,"$60,998 - $76,761","[""qa-engineer"", ""education-technology"", ""hybrid"", ""mid""]",True
Himalaya Digital Bank,UX Designer,"Himalaya Digital Bank is hiring a UX Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Figma"", ""Accessibility"", ""User Research"", ""Journey Mapping"", ""Wireframing"", ""Usability Testing"", ""Adobe Creative Suite"", ""Design Systems"", ""Prototyping""]",Singapore,Full-time,Remote,Mid,3,3-5 years,"$47,668 - $70,931","[""ux-designer"", ""financial-technology"", ""remote"", ""mid""]",False
CloudRiver Labs,Talent Acquisition Specialist,"CloudRiver Labs is hiring a Talent Acquisition Specialist to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Copywriting"", ""Email Marketing"", ""Marketing Automation"", ""Meta Ads"", ""CRM"", ""Content Strategy"", ""SEO"", ""Google Analytics"", ""Google Ads""]","New York, NY",Full-time,Onsite,Senior,8,8-10 years,"$54,240 - $81,815","[""talent-acquisition-specialist"", ""technology"", ""onsite"", ""senior""]",False
UrbanNest Properties,Frontend Engineer,"UrbanNest Properties is hiring a Frontend Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Onboarding"", ""Payroll Coordination"", ""Employee Relations"", ""Interviewing""]","Pokhara, Nepal",Full-time,Remote,Senior,7,7-9 years,"$49,633 - $65,826","[""frontend-engineer"", ""real-estate"", ""remote"", ""senior""]",False
NexaHealth Systems,BI Analyst,"NexaHealth Systems is hiring a BI Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Roadmapping"", ""User Research"", ""Jira"", ""Product Strategy"", ""Figma"", ""Agile"", ""A/B Testing""]","Delhi, India",Internship,Remote,Senior,6,6-8 years,"$71,578 - $92,123","[""bi-analyst"", ""healthcare-technology"", ""remote"", ""senior""]",False
UrbanNest Properties,Frontend Engineer,"UrbanNest Properties is hiring a Frontend Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Copywriting"", ""CRM"", ""Marketing Automation"", ""Meta Ads"", ""Content Strategy"", ""SEO"", ""Google Analytics"", ""Email Marketing"", ""Google Ads""]","Pokhara, Nepal",Full-time,Onsite,Senior,8,8-10 years,"$48,336 - $77,692","[""frontend-engineer"", ""real-estate"", ""onsite"", ""senior""]",False
SwiftServe Hospitality,Software Engineer,"SwiftServe Hospitality is hiring a Software Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Python"", ""SQL"", ""Docker"", ""Microservices"", ""CI/CD"", ""AWS"", ""JavaScript"", ""Git""]","Kathmandu, Nepal",Contract,Onsite,Senior,8,8-10 years,"$78,464 - $97,538","[""software-engineer"", ""hospitality"", ""onsite"", ""senior""]",False
UrbanNest Properties,Finance Analyst,"UrbanNest Properties is hiring a Finance Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Risk Analysis"", ""Excel"", ""Forecasting"", ""Power BI"", ""Variance Analysis"", ""QuickBooks""]","Pokhara, Nepal",Full-time,Hybrid,Senior,6,6-8 years,"$49,016 - $75,051","[""finance-analyst"", ""real-estate"", ""hybrid"", ""senior""]",True
UrbanNest Properties,UX Designer,"UrbanNest Properties is hiring a UX Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Wireframing"", ""Accessibility"", ""Design Systems"", ""Figma"", ""Journey Mapping"", ""Usability Testing"", ""Adobe Creative Suite"", ""User Research"", ""Prototyping""]","Bengaluru, India",Part-time,Onsite,Mid,4,4-6 years,"$48,980 - $73,359","[""ux-designer"", ""real-estate"", ""onsite"", ""mid""]",False
MapleBridge Consulting,UX Designer,"MapleBridge Consulting is hiring a UX Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Journey Mapping"", ""Figma"", ""Accessibility"", ""Prototyping"", ""Design Systems"", ""Usability Testing""]","Sydney, Australia",Full-time,Onsite,Entry Level,1,1-3 years,"$42,653 - $66,650","[""ux-designer"", ""consulting"", ""onsite"", ""entry-level""]",False
Evergreen Logistics,Backend Developer,"Evergreen Logistics is hiring a Backend Developer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Vendor Management"", ""Data Entry"", ""ERP"", ""Excel"", ""Logistics"", ""SOPs"", ""Supply Chain"", ""Inventory Planning""]","Hyderabad, India",Full-time,Remote,Mid,3,3-5 years,"$33,733 - $59,241","[""backend-developer"", ""logistics"", ""remote"", ""mid""]",False
Himalaya Digital Bank,Digital Marketing Specialist,"Himalaya Digital Bank is hiring a Digital Marketing Specialist to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Google Ads"", ""Google Analytics"", ""Content Strategy"", ""Marketing Automation"", ""Meta Ads"", ""SEO""]","Dubai, UAE",Contract,Hybrid,Entry Level,0,0-2 years,"$30,000 - $48,181","[""digital-marketing-specialist"", ""financial-technology"", ""hybrid"", ""entry-level""]",False
TerraGrid Energy,Software Engineer,"TerraGrid Energy is hiring a Software Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""PostgreSQL"", ""CI/CD"", ""Python"", ""React"", ""REST APIs"", ""Docker"", ""Microservices""]","Sydney, Australia",Part-time,Onsite,Senior,8,8-10 years,"$75,112 - $99,520","[""software-engineer"", ""renewable-energy"", ""onsite"", ""senior""]",False
TerraGrid Energy,BI Analyst,"TerraGrid Energy is hiring a BI Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Google Ads"", ""SEO"", ""Email Marketing"", ""Content Strategy"", ""Copywriting"", ""Marketing Automation"", ""Meta Ads"", ""Google Analytics""]","Toronto, Canada",Full-time,Remote,Senior,8,8-10 years,"$60,520 - $87,725","[""bi-analyst"", ""renewable-energy"", ""remote"", ""senior""]",False
OrbitPay,Digital Marketing Specialist,"OrbitPay is hiring a Digital Marketing Specialist to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Marketing Automation"", ""CRM"", ""Email Marketing"", ""Google Ads"", ""SEO"", ""Copywriting"", ""Google Analytics"", ""Meta Ads""]","Sydney, Australia",Contract,Onsite,Entry Level,1,1-3 years,"$31,951 - $59,737","[""digital-marketing-specialist"", ""payments"", ""onsite"", ""entry-level""]",True
Evergreen Logistics,QA Engineer,"Evergreen Logistics is hiring a QA Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Accounting"", ""Variance Analysis"", ""Forecasting"", ""Power BI""]","Pokhara, Nepal",Internship,Hybrid,Mid,3,3-5 years,"$45,128 - $71,526","[""qa-engineer"", ""logistics"", ""hybrid"", ""mid""]",False
BrightPath Learning,Frontend Engineer,"BrightPath Learning is hiring a Frontend Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Supply Chain"", ""Inventory Planning"", ""SOPs"", ""Process Improvement"", ""Vendor Management"", ""ERP""]","Bengaluru, India",Part-time,Hybrid,Senior,5,5-7 years,"$39,590 - $56,803","[""frontend-engineer"", ""education-technology"", ""hybrid"", ""senior""]",False
TerraGrid Energy,Software Engineer,"TerraGrid Energy is hiring a Software Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""React"", ""TypeScript"", ""Microservices"", ""REST APIs"", ""CI/CD"", ""SQL"", ""Docker""]","Sydney, Australia",Full-time,Onsite,Senior,8,8-10 years,"$76,960 - $106,035","[""software-engineer"", ""renewable-energy"", ""onsite"", ""senior""]",False
TerraGrid Energy,Product Designer,"TerraGrid Energy is hiring a Product Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Stakeholder Management"", ""A/B Testing"", ""Figma"", ""Analytics"", ""Go-to-Market"", ""Product Strategy""]","New York, NY",Full-time,Onsite,Mid,4,4-6 years,"$62,604 - $78,260","[""product-designer"", ""renewable-energy"", ""onsite"", ""mid""]",False
OrbitPay,Talent Acquisition Specialist,"OrbitPay is hiring a Talent Acquisition Specialist to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Data Cleaning"", ""Statistics"", ""Excel"", ""Power BI"", ""dbt"", ""Python"", ""BigQuery"", ""A/B Testing""]","Austin, TX",Contract,Remote,Senior,5,5-7 years,"$48,655 - $74,113","[""talent-acquisition-specialist"", ""payments"", ""remote"", ""senior""]",False
CloudRiver Labs,Customer Success Manager,"CloudRiver Labs is hiring a Customer Success Manager to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Excel"", ""Logistics"", ""Vendor Management"", ""Inventory Planning"", ""Supply Chain"", ""Data Entry"", ""Process Improvement"", ""ERP""]",Singapore,Full-time,Onsite,Senior,8,8-10 years,"$54,984 - $79,599","[""customer-success-manager"", ""technology"", ""onsite"", ""senior""]",False
UrbanNest Properties,Finance Analyst,"UrbanNest Properties is hiring a Finance Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""QuickBooks"", ""Risk Analysis"", ""Excel"", ""Power BI"", ""Forecasting""]","Pokhara, Nepal",Contract,Remote,Mid,3,3-5 years,"$45,194 - $61,249","[""finance-analyst"", ""real-estate"", ""remote"", ""mid""]",True
Peak Retail Group,Finance Analyst,"Peak Retail Group is hiring a Finance Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Budgeting"", ""Forecasting"", ""Financial Modeling"", ""Accounting""]","London, UK",Full-time,Onsite,Mid,4,4-6 years,"$44,040 - $72,159","[""finance-analyst"", ""retail"", ""onsite"", ""mid""]",False
SwiftServe Hospitality,BI Analyst,"SwiftServe Hospitality is hiring a BI Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""React"", ""Node.js"", ""Microservices"", ""Git"", ""SQL"", ""JavaScript"", ""CI/CD"", ""Unit Testing""]","Austin, TX",Contract,Onsite,Mid,4,4-6 years,"$60,536 - $80,066","[""bi-analyst"", ""hospitality"", ""onsite"", ""mid""]",False
Peak Retail Group,UX Designer,"Peak Retail Group is hiring a UX Designer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Design Systems"", ""Adobe Creative Suite"", ""Accessibility"", ""User Research""]","London, UK",Internship,Onsite,Senior,6,6-8 years,"$51,058 - $79,348","[""ux-designer"", ""retail"", ""onsite"", ""senior""]",False
Himalaya Digital Bank,BI Analyst,"Himalaya Digital Bank is hiring a BI Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Google Ads"", ""Marketing Automation"", ""Email Marketing"", ""SEO"", ""Google Analytics"", ""Copywriting"", ""Content Strategy"", ""CRM""]","Delhi, India",Part-time,Onsite,Entry Level,1,1-3 years,"$33,530 - $60,138","[""bi-analyst"", ""financial-technology"", ""onsite"", ""entry-level""]",False
Evergreen Logistics,Backend Developer,"Evergreen Logistics is hiring a Backend Developer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Budgeting"", ""QuickBooks"", ""Forecasting"", ""Risk Analysis"", ""Excel"", ""Variance Analysis"", ""Accounting""]","Pokhara, Nepal",Contract,Remote,Mid,4,4-6 years,"$42,588 - $64,717","[""backend-developer"", ""logistics"", ""remote"", ""mid""]",False
TerraGrid Energy,BI Analyst,"TerraGrid Energy is hiring a BI Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Variance Analysis"", ""Excel"", ""Accounting"", ""Forecasting"", ""Financial Modeling"", ""QuickBooks"", ""Power BI"", ""Risk Analysis""]","Toronto, Canada",Full-time,Hybrid,Senior,7,7-9 years,"$61,495 - $84,375","[""bi-analyst"", ""renewable-energy"", ""hybrid"", ""senior""]",False
CloudRiver Labs,Supply Chain Analyst,"CloudRiver Labs is hiring a Supply Chain Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""BigQuery"", ""Looker"", ""Power BI"", ""Data Cleaning"", ""Statistics"", ""ETL"", ""Tableau"", ""A/B Testing"", ""Python""]","New York, NY",Full-time,Remote,Entry Level,0,0-2 years,"$38,000 - $56,828","[""supply-chain-analyst"", ""technology"", ""remote"", ""entry-level""]",True
Himalaya Digital Bank,Backend Developer,"Himalaya Digital Bank is hiring a Backend Developer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Employee Relations"", ""HRIS"", ""Interviewing"", ""Compliance"", ""Onboarding"", ""Performance Reviews"", ""Recruiting"", ""Payroll Coordination""]",Singapore,Full-time,Remote,Senior,8,8-10 years,"$58,184 - $88,608","[""backend-developer"", ""financial-technology"", ""remote"", ""senior""]",False
MapleBridge Consulting,Supply Chain Analyst,"MapleBridge Consulting is hiring a Supply Chain Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Logistics"", ""Inventory Planning"", ""SOPs"", ""Process Improvement"", ""Data Entry"", ""ERP"", ""Excel"", ""Supply Chain"", ""Vendor Management""]","Sydney, Australia",Full-time,Hybrid,Mid,4,4-6 years,"$43,120 - $60,385","[""supply-chain-analyst"", ""consulting"", ""hybrid"", ""mid""]",False
CloudRiver Labs,Operations Coordinator,"CloudRiver Labs is hiring a Operations Coordinator to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Supply Chain"", ""ERP"", ""SOPs"", ""Process Improvement"", ""Vendor Management"", ""Data Entry"", ""Excel"", ""Logistics"", ""Inventory Planning""]","New York, NY",Internship,Hybrid,Mid,4,4-6 years,"$43,572 - $64,910","[""operations-coordinator"", ""technology"", ""hybrid"", ""mid""]",False
Himalaya Digital Bank,Operations Coordinator,"Himalaya Digital Bank is hiring a Operations Coordinator to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Data Entry"", ""Excel"", ""Inventory Planning"", ""Supply Chain"", ""SOPs"", ""ERP""]","Dubai, UAE",Contract,Hybrid,Senior,8,8-10 years,"$43,856 - $73,120","[""operations-coordinator"", ""financial-technology"", ""hybrid"", ""senior""]",False
OrbitPay,Frontend Engineer,"OrbitPay is hiring a Frontend Engineer to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Prototyping"", ""Adobe Creative Suite"", ""Journey Mapping"", ""Wireframing"", ""User Research"", ""Usability Testing"", ""Accessibility"", ""Design Systems""]","Austin, TX",Full-time,Hybrid,Mid,3,3-5 years,"$46,237 - $70,621","[""frontend-engineer"", ""payments"", ""hybrid"", ""mid""]",False
SwiftServe Hospitality,Product Manager,"SwiftServe Hospitality is hiring a Product Manager to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Go-to-Market"", ""Roadmapping"", ""User Research"", ""Product Strategy"", ""Analytics"", ""Figma"", ""Stakeholder Management"", ""Agile""]","Austin, TX",Part-time,Onsite,Mid,2,2-4 years,"$61,556 - $76,345","[""product-manager"", ""hospitality"", ""onsite"", ""mid""]",False
SwiftServe Hospitality,Customer Success Manager,"SwiftServe Hospitality is hiring a Customer Success Manager to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Stakeholder Management"", ""User Research"", ""Agile"", ""Go-to-Market"", ""Roadmapping"", ""Figma""]","Kathmandu, Nepal",Part-time,Hybrid,Senior,5,5-7 years,"$71,905 - $90,172","[""customer-success-manager"", ""hospitality"", ""hybrid"", ""senior""]",True
BrightPath Learning,BI Analyst,"BrightPath Learning is hiring a BI Analyst to support production systems, cross-functional delivery, and measurable business outcomes. The role suits someone comfortable with ownership, documentation, stakeholder updates, and continuous improvement.","[""Excel"", ""Forecasting"", ""Accounting"", ""Budgeting"", ""QuickBooks"", ""Risk Analysis"", ""Power BI"", ""Financial Modeling""]","Delhi, India",Full-time,Hybrid,Mid,2,2-4 years,"$38,808 - $56,700","[""bi-analyst"", ""education-technology"", ""hybrid"", ""mid""]",False
